obsno,month_year,births
1,Jan-46,26.663
2,Feb-46,23.598
3,Mar-46,26.931
4,Apr-46,24.74
5,May-46,25.806
6,Jun-46,24.364
7,Jul-46,24.477
8,Aug-46,23.901
9,Sep-46,23.175
10,Oct-46,23.227
11,Nov-46,21.672
12,Dec-46,21.87
13,Jan-47,21.439
14,Feb-47,21.089
15,Mar-47,23.709
16,Apr-47,21.669
17,May-47,21.752
18,Jun-47,20.761
19,Jul-47,23.479
20,Aug-47,23.824
21,Sep-47,23.105
22,Oct-47,23.11
23,Nov-47,21.759
24,Dec-47,22.073
25,Jan-48,21.937
26,Feb-48,20.035
27,Mar-48,23.59
28,Apr-48,21.672
29,May-48,22.222
30,Jun-48,22.123
31,Jul-48,23.95
32,Aug-48,23.504
33,Sep-48,22.238
34,Oct-48,23.142
35,Nov-48,21.059
36,Dec-48,21.573
37,Jan-49,21.548
38,Feb-49,20
39,Mar-49,22.424
40,Apr-49,20.615
41,May-49,21.761
42,Jun-49,22.874
43,Jul-49,24.104
44,Aug-49,23.748
45,Sep-49,23.262
46,Oct-49,22.907
47,Nov-49,21.519
48,Dec-49,22.025
49,Jan-50,22.604
50,Feb-50,20.894
51,Mar-50,24.677
52,Apr-50,23.673
53,May-50,25.32
54,Jun-50,23.583
55,Jul-50,24.671
56,Aug-50,24.454
57,Sep-50,24.122
58,Oct-50,24.252
59,Nov-50,22.084
60,Dec-50,22.991
61,Jan-51,23.287
62,Feb-51,23.049
63,Mar-51,25.076
64,Apr-51,24.037
65,May-51,24.43
66,Jun-51,24.667
67,Jul-51,26.451
68,Aug-51,25.618
69,Sep-51,25.014
70,Oct-51,25.11
71,Nov-51,22.964
72,Dec-51,23.981
73,Jan-52,23.798
74,Feb-52,22.27
75,Mar-52,24.775
76,Apr-52,22.646
77,May-52,23.988
78,Jun-52,24.737
79,Jul-52,26.276
80,Aug-52,25.816
81,Sep-52,25.21
82,Oct-52,25.199
83,Nov-52,23.162
84,Dec-52,24.707
85,Jan-53,24.364
86,Feb-53,22.644
87,Mar-53,25.565
88,Apr-53,24.062
89,May-53,25.431
90,Jun-53,24.635
91,Jul-53,27.009
92,Aug-53,26.606
93,Sep-53,26.268
94,Oct-53,26.462
95,Nov-53,25.246
96,Dec-53,25.18
97,Jan-54,24.657
98,Feb-54,23.304
99,Mar-54,26.982
100,Apr-54,26.199
101,May-54,27.21
102,Jun-54,26.122
103,Jul-54,26.706
104,Aug-54,26.878
105,Sep-54,26.152
106,Oct-54,26.379
107,Nov-54,24.712
108,Dec-54,25.688
109,Jan-55,24.99
110,Feb-55,24.239
111,Mar-55,26.721
112,Apr-55,23.475
113,May-55,24.767
114,Jun-55,26.219
115,Jul-55,28.361
116,Aug-55,28.599
117,Sep-55,27.914
118,Oct-55,27.784
119,Nov-55,25.693
120,Dec-55,26.881
121,Jan-56,26.217
122,Feb-56,24.218
123,Mar-56,27.914
124,Apr-56,26.975
125,May-56,28.527
126,Jun-56,27.139
127,Jul-56,28.982
128,Aug-56,28.169
129,Sep-56,28.056
130,Oct-56,29.136
131,Nov-56,26.291
132,Dec-56,26.987
133,Jan-57,26.589
134,Feb-57,24.848
135,Mar-57,27.543
136,Apr-57,26.896
137,May-57,28.878
138,Jun-57,27.39
139,Jul-57,28.065
140,Aug-57,28.141
141,Sep-57,29.048
142,Oct-57,28.484
143,Nov-57,26.634
144,Dec-57,27.735
145,Jan-58,27.132
146,Feb-58,24.924
147,Mar-58,28.963
148,Apr-58,26.589
149,May-58,27.931
150,Jun-58,28.009
151,Jul-58,29.229
152,Aug-58,28.759
153,Sep-58,28.405
154,Oct-58,27.945
155,Nov-58,25.912
156,Dec-58,26.619
157,Jan-59,26.076
158,Feb-59,25.286
159,Mar-59,27.66
160,Apr-59,25.951
161,May-59,26.398
162,Jun-59,25.565
163,Jul-59,28.865
164,Aug-59,30
165,Sep-59,29.261
166,Oct-59,29.012
167,Nov-59,26.992
168,Dec-59,27.897
